,component1,component2
0,-0.4413856436869996,-0.02338522027936644
1,-0.19405803000071933,-0.042259520117648434
2,-0.27498761906371677,0.028626162400556324
3,-0.21449955874928003,0.014470580783473262
4,-0.09972248474444743,-0.01556397019564406
5,-0.07488090632432713,-0.03433960861288947
6,-0.072339144658417,-0.003917026924164043
7,-0.1447796545808863,0.011862358474787444
8,-0.22374008190124015,0.03794182555484472
9,-0.30948188156951156,0.061117888659689305
10,-0.32543847665487147,0.06404897344017547
11,-0.3333154036734802,0.08529663358238425
12,-0.3441680172264843,0.06563669240840117
13,-0.2666679610669471,0.023003584344667812
14,-0.20511561019491703,-0.0035127961911231745
15,-0.08379570510289348,-0.029793396253325173
16,0.007655750534364778,-0.08707334985819035
17,0.07113867505913125,-0.12831274151265085
18,-0.14149351113675085,-0.11651948096937637
19,-0.14256580066453298,-0.1499193994894379
20,-0.15891575362780683,-0.14437010094843553
21,-0.13527817528884642,-0.13750433509335888
22,-0.10974616070921266,-0.10278339759661458
23,-0.008355840061890114,-0.07272278020948318
24,0.015354760514695,0.007671869934661471
25,-0.030295287535738364,0.11094124520822703
26,-0.05768290545349894,0.18395240782614372
27,0.07886006146650809,0.06255391172755391
28,0.07233999469841737,0.05170965496229988
29,0.04732159644155634,0.02751311465526538
30,0.03902486695225836,0.05724789283331008
31,0.010565737833424103,0.07681683080007062
32,-0.0008835420023022084,0.07691455849477612
33,-0.022896673805864427,0.0794442320720786
34,-0.041782100880104554,0.11250270725096438
35,-0.037351247078750406,0.10074537888631631
36,-0.06282212496124065,0.08093320341986576
37,-0.03915258690718908,0.08530056925502347
38,-0.04129961480309736,0.10099063322241547
39,-0.05001970497995895,0.09895308100138189
40,-0.026918879550163793,0.06875388185426841
41,0.100916112651307,0.027837238348886472
42,0.1953930384079727,0.008346829325465596
43,0.11871581871001793,0.07272521279617906
44,-0.0679885875876833,0.11901657456386934
45,-0.1380102113281453,0.12183144329860635
46,-0.15139352232574418,0.1197164651049943
47,-0.08405594309295315,0.09939315583583845
48,0.33846373819200254,-0.03479183049093716
49,0.1644164924948083,-0.11017468583900003
50,0.13982198438681906,-0.14288660348004636
51,0.11428183618674502,-0.12776555077349447
52,0.08973385762175408,-0.11236569793062738
53,0.09382726467950872,-0.05701020977062105
54,0.28465018346985765,0.0008219714142089449
55,0.24066307193246114,0.014542575507116509
56,0.15885394578147194,0.08996995358679867
57,0.07847549186888456,0.10514208874956636
58,0.07338839495572964,0.10027680752275568
59,0.07666583091987675,0.0671571608193753
60,0.13083680479900478,0.0180742617748055
61,0.2766425452574654,0.035889438650577456
62,0.23072028152172097,-0.057354959179810885
63,0.01871400572143421,0.21513897191461168
64,0.022875012657158588,0.25548700693506754
65,-0.03142567620843019,0.2624718991866712
